country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"MDA",92,"XEE","Rest of Eastern Europe","Republic of Moldova",89,"XEE","Rest of Eastern Europe","Moldova","MDA","Moldova, The Republic of"
"MDG",144,"MDG","Madagascar","Madagascar",127,"MDG","Madagascar","Madagascar","MDG","Madagascar, The Republic of"
"MDV",27,"XSA","Rest of South Asia","Maldives",26,"XSA","Rest of South Asia","Maldives","MDV","Maldives, The Republic of"
"MEX",30,"MEX","Mexico","Mexico",29,"MEX","Mexico","Mexico","MEX","United Mexican States, The"
"MHL",3,"XOC","Rest of Oceania","Marshall Islands",3,"XOC","Rest of Oceania","Marshall Islands","MHL","Marshall Islands, The Republic of the"
"MKD",93,"XER","Rest of Europe","North Macedonia",90,"XER","Rest of Europe","North Macedonia","MKD","Macedonia, The Former Yugoslav Republic of"
"MLI",128,"MLI","Mali","Mali",122,"XWF","Rest of Western Africa","Mali","MLI","Mali, The Republic of"
"MLT",74,"MLT","Malta","Malta",72,"MLT","Malta","Malta","MLT","Malta, The Republic of"
"MMR",20,"XSE","Rest of Southeast Asia","Myanmar",20,"XSE","Rest of Southeast Asia","Myanmar","MMR","Myanmar, The Republic of the Union of"
"MNE",93,"XER","Rest of Europe","Montenegro",90,"XER","Rest of Europe","Montenegro","MNE","Montenegro"
"MNG",8,"MNG","Mongolia","Mongolia",8,"MNG","Mongolia","Mongolia","MNG","Mongolia"
"MNP",3,"XOC","Rest of Oceania","Northern Mariana Islands",3,"XOC","Rest of Oceania","Northern Mariana Islands","MNP","Northern Mariana Islands, The Commonwealth of the"
"MOZ",147,"MOZ","Mozambique","Mozambique",130,"MOZ","Mozambique","Mozambique","MOZ","Mozambique, The Republic of"
"MRT",133,"XWF","Rest of Western Africa","Mauritania",122,"XWF","Rest of Western Africa","Mauritania","MRT","Mauritania, The Islamic Republic of"
"MSR",55,"XCB","Rest of Caribbean","Montserrat",53,"XCB","Rest of Caribbean","Montserrat","MSR","Montserrat"
"MTQ",65,"FRA","France","Martinique",63,"FRA","France","Martinique","MTQ","Martinique"
"MUS",146,"MUS","Mauritius","Mauritius",129,"MUS","Mauritius","Mauritius","MUS","Mauritius, The Republic of"
"MWI",145,"MWI","Malawi","Malawi",128,"MWI","Malawi","Malawi","MWI","Malawi, The Republic of"
"MYS",15,"MYS","Malaysia","Malaysia",15,"MYS","Malaysia","Malaysia","MYS","Malaysia"
"MYT",154,"XEC","Rest of Eastern Africa","Mayotte",136,"XEC","Rest of Eastern Africa","Mayotte","MYT","Mayotte"
"NAM",157,"NAM","Namibia","Namibia",138,"NAM","Namibia","Namibia","NAM","Namibia, The Republic of"
"NCL",3,"XOC","Rest of Oceania","New Caledonia",3,"XOC","Rest of Oceania","New Caledonia","NCL","New Caledonia"
"NER",129,"NER","Niger","Niger",122,"XWF","Rest of Western Africa","Niger","NER","Niger, The Republic of the"
"NGA",130,"NGA","Nigeria","Nigeria",119,"NGA","Nigeria","Nigeria","NGA","Nigeria, The Federal Republic of"
"NIC",46,"NIC","Nicaragua","Nicaragua",45,"NIC","Nicaragua","Nicaragua","NIC","Nicaragua, The Republic of"
"NIU",3,"XOC","Rest of Oceania","Niue",3,"XOC","Rest of Oceania","Niue","NIU","Niue"
"NLD",75,"NLD","Netherlands","Netherlands",73,"NLD","Netherlands","Netherlands","NLD","Netherlands, The Kingdom of the"
"NOR",85,"NOR","Norway","Norway",83,"NOR","Norway","Norway","NOR","Norway, The Kingdom of"
"NPL",24,"NPL","Nepal","Nepal",23,"NPL","Nepal","Nepal","NPL","Nepal, The Federal Democratic Republic of"
"NRU",3,"XOC","Rest of Oceania","Nauru",3,"XOC","Rest of Oceania","Nauru","NRU","Nauru, The Republic of"
"NZL",2,"NZL","New Zealand","New Zealand",2,"NZL","New Zealand","New Zealand","NZL","New Zealand"
"OMN",109,"OMN","Oman","Oman",103,"OMN","Oman","Oman","OMN","Oman, The Sultanate of"
"PAK",25,"PAK","Pakistan","Pakistan",24,"PAK","Pakistan","Pakistan","PAK","Pakistan, The Islamic Republic of"
"PAN",47,"PAN","Panama","Panama",46,"PAN","Panama","Panama","PAN","Panama, The Republic of"
"PER",39,"PER","Peru","Peru",38,"PER","Peru","Peru","PER","Peru, The Republic of"
"PHL",16,"PHL","Philippines","Philippines",16,"PHL","Philippines","Philippines","PHL","Philippines, The Republic of the"
"PLW",3,"XOC","Rest of Oceania","Palau",3,"XOC","Rest of Oceania","Palau","PLW","Palau, The Republic of"
